state,permit,handgun,long_gun,other,year
Mariana Islands,0.0,0.0,1.0,0.0,2016
Maryland,2132.0,4288.0,4864.0,138.0,2016
Massachusetts,7045.0,5965.0,3404.0,990.0,2016
Michigan,15883.0,10335.0,8282.0,616.0,2016
Minnesota,27062.0,8880.0,9723.0,1215.0,2016
Mississippi,1996.0,7804.0,4692.0,346.0,2016
Missouri,7958.0,18770.0,13295.0,1813.0,2016
Montana,1614.0,2968.0,4379.0,234.0,2016
Nebraska,3890.0,107.0,1609.0,15.0,2016
Nevada,2645.0,4949.0,3114.0,358.0,2016
New Hampshire,3728.0,5166.0,3453.0,196.0,2016
New Jersey,0.0,6266.0,4294.0,246.0,2016
New Mexico,1202.0,5336.0,4231.0,531.0,2016
New York,4257.0,10062.0,12213.0,1205.0,2016
North Carolina,26567.0,1181.0,11749.0,943.0,2016
North Dakota,2462.0,1312.0,2377.0,164.0,2016
Ohio,13236.0,24397.0,17086.0,2294.0,2016
Oklahoma,0.0,11933.0,8811.0,1415.0,2016
Oregon,48.0,14054.0,11400.0,0.0,2016
Pennsylvania,23639.0,44677.0,11841.0,35.0,2016
Puerto Rico,0.0,1025.0,214.0,36.0,2016
Rhode Island,0.0,1146.0,862.0,85.0,2016
South Carolina,12286.0,9619.0,5599.0,680.0,2016
South Dakota,1155.0,2460.0,3139.0,309.0,2016
Tennessee,2123.0,22476.0,15194.0,0.0,2016
Texas,23267.0,46816.0,33501.0,4013.0,2016
Utah,19677.0,3433.0,3731.0,311.0,2016
Vermont,0.0,1240.0,1225.0,131.0,2016
Virgin Islands,74.0,24.0,7.0,0.0,2016
Virginia,985.0,20132.0,15480.0,993.0,2016
Washington,13202.0,17040.0,13267.0,2576.0,2016
West Virginia,1822.0,6602.0,4821.0,375.0,2016
Wisconsin,5459.0,12464.0,11144.0,1173.0,2016
Wyoming,509.0,1638.0,2110.0,123.0,2016
Alabama,20092.0,7903.0,5256.0,254.0,2016
Alaska,253.0,2582.0,2391.0,190.0,2016
Arizona,6941.0,10994.0,6539.0,880.0,2016
Arkansas,5452.0,4551.0,3596.0,137.0,2016
California,91841.0,38301.0,28723.0,6124.0,2016
Colorado,6924.0,16293.0,11252.0,934.0,2016
Connecticut,15718.0,9953.0,3362.0,212.0,2016
Delaware,1255.0,1722.0,1121.0,66.0,2016
District of Columbia,57.0,47.0,6.0,0.0,2016
Florida,27235.0,42845.0,17025.0,2625.0,2016
Georgia,13787.0,10866.0,5510.0,361.0,2016
Guam,0.0,119.0,56.0,8.0,2016
Hawaii,1314.0,0.0,0.0,0.0,2016
Idaho,1139.0,3132.0,3323.0,149.0,2016
Illinois,91026.0,19264.0,8686.0,0.0,2016
Indiana,91807.0,16842.0,9264.0,965.0,2016
Iowa,10729.0,121.0,1569.0,16.0,2016
Kansas,1006.0,4648.0,3553.0,281.0,2016
Kentucky,305018.0,8049.0,5244.0,222.0,2016
Louisiana,2376.0,9561.0,5788.0,668.0,2016
Maine,568.0,3009.0,2464.0,142.0,2016
Mariana Islands,0.0,0.0,1.0,0.0,2016
Maryland,2567.0,4099.0,4148.0,130.0,2016
Massachusetts,7114.0,5278.0,2325.0,486.0,2016
Michigan,18750.0,9834.0,6490.0,344.0,2016
Minnesota,24146.0,8772.0,7638.0,637.0,2016
Mississippi,1981.0,7005.0,3541.0,215.0,2016
Missouri,9606.0,16909.0,10162.0,966.0,2016
Montana,1490.0,2724.0,3881.0,123.0,2016
Nebraska,3394.0,78.0,1277.0,9.0,2016
Nevada,2624.0,4365.0,2329.0,191.0,2016
